

Starting up. (ID: cqd-aVuP) 01:03.34
---------------------
[01:03:34] cqd-aVuP MISC: Saved storyteller is 'healer'
[01:03:34] cqd-aVuP ADMIN: Loading jobban_rank
[01:03:34] cqd-aVuP ADMIN: jobban_keylist was empty
[01:03:34] cqd-aVuP ADMIN: Loading Banlist
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 12, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 14, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 11, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 13, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 12, but not have that slot!
[01:09:49] cqd-aVuP GAME: crematorium loaded at at 171,137,20
[01:09:49] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 158,137,20
[01:09:50] cqd-aVuP GAME: secure_storage_horizontal loaded at at 145,137,20
[01:09:50] cqd-aVuP GAME: showers loaded at at 132,137,20
[01:09:50] cqd-aVuP GAME: crematorium loaded at at 119,137,20
[01:09:51] cqd-aVuP GAME: secure_storage_horizontal loaded at at 106,137,20
[01:09:51] cqd-aVuP GAME: Hallway_4way loaded at at 93,137,20
[01:09:52] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 80,137,20
[01:09:52] cqd-aVuP GAME: checkpoint_horizontal loaded at at 67,137,20
[01:09:52] cqd-aVuP GAME: crematorium loaded at at 54,137,20
[01:09:53] cqd-aVuP GAME: crematorium loaded at at 41,137,20
[01:09:53] cqd-aVuP GAME: Hallway_4way loaded at at 28,137,20
[01:09:53] cqd-aVuP GAME: penitentiary loaded at at 15,137,20
[01:09:54] cqd-aVuP GAME: Hallway_4way loaded at at 2,137,20
[01:09:54] cqd-aVuP GAME: Hallway_4way loaded at at 2,128,20
[01:09:55] cqd-aVuP GAME: Hallway_4way loaded at at 15,128,20
[01:09:55] cqd-aVuP GAME: crematorium loaded at at 28,128,20
[01:09:55] cqd-aVuP GAME: showers loaded at at 41,128,20
[01:09:56] cqd-aVuP GAME: penitentiary loaded at at 54,128,20
[01:09:56] cqd-aVuP GAME: showers loaded at at 67,128,20
[01:09:57] cqd-aVuP GAME: showers loaded at at 80,128,20
[01:09:57] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 93,128,20
[01:09:57] cqd-aVuP GAME: garden loaded at at 93,119,20
[01:09:59] cqd-aVuP GAME: garden loaded at at 106,119,20
[01:09:59] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 106,110,20
[01:09:59] cqd-aVuP GAME: garden loaded at at 106,101,20
[01:10:00] cqd-aVuP GAME: crematorium loaded at at 119,101,20
[01:10:00] cqd-aVuP GAME: hallwayatmos_west-east loaded at at 132,101,20
[01:10:00] cqd-aVuP GAME: crematorium loaded at at 145,101,20
[01:10:01] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 158,101,20
[01:10:01] cqd-aVuP GAME: garden loaded at at 171,101,20
[01:10:01] cqd-aVuP GAME: penitentiary loaded at at 184,101,20
[01:10:02] cqd-aVuP GAME: Hallway_4way loaded at at 197,101,20
[01:10:03] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 197,92,20
[01:10:03] cqd-aVuP GAME: garden loaded at at 184,92,20
[01:10:04] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 171,92,20
[01:10:04] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 158,92,20
[01:10:04] cqd-aVuP GAME: showers loaded at at 145,92,20
[01:10:05] cqd-aVuP GAME: crematorium loaded at at 132,92,20
[01:10:05] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 119,92,20
[01:10:06] cqd-aVuP GAME: Hallway_4way loaded at at 106,92,20
[01:10:06] cqd-aVuP GAME: garden loaded at at 106,83,20
[01:10:06] cqd-aVuP GAME: crematorium loaded at at 93,83,20
[01:10:07] cqd-aVuP GAME: garden loaded at at 80,83,20
[01:10:08] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 80,74,20
[01:10:09] cqd-aVuP GAME: Hallway_4way loaded at at 93,74,20
[01:10:09] cqd-aVuP GAME: garden loaded at at 93,65,20
